estrategia,ativo,retorno_total_%,drawdown_max_%,numero_trades,trades_por_ano,taxa_acerto_%,score_crescimento,score_fluxo,perfil,explicacao,nota_final
RSI_Rev_14_25_75,BOVA11,106.03,39.49,0,0.0,0.0,68.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,34.1
Momentum_126d_th5pct,COPPERFUT,10.06,27.15,1,365.0,0.0,26.9,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",33.95
MA_Cross_EMA_20_200,DOLFUT,-2.18,7.18,1,33.18,0.0,26.8,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",33.9
MA_Cross_SMA_50_200,COPPERFUT,91.98,27.87,0,0.0,0.0,67.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,33.8
RSI_Rev_14_25_75,BTCUSD,112.15,41.2,0,0.0,0.0,67.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,33.8
Triple_MA_SMA_10_50_200,WTIUSD,127.8,42.47,0,0.0,0.0,67.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,33.65
Momentum_252d_th0pct,SOYFUT,-3.56,6.91,1,33.18,0.0,26.1,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",33.55
MA_Cross_SMA_20_200,WTIUSD,317.71,44.09,0,0.0,0.0,66.8,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,33.4
Donchian_20_10,WTIUSD,568.69,44.8,0,0.0,0.0,66.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,33.3
Donchian_20_10,WTIUSD,470.47,44.8,0,0.0,0.0,66.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,33.3
Donchian_55_20,XAUUSD,82.03,16.06,0,0.0,0.0,66.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,33.1
Donchian_20_10,BTCUSD,8314.69,45.92,0,0.0,0.0,66.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,33.1
TrendRev_MA200_RSI14_35_65,SOYFUT,-6.66,8.69,2,81.11,0.0,24.1,42.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",33.05
MA_Cross_SMA_50_200,DOLFUT,-5.52,7.39,1,73.0,0.0,25.0,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",33.0
MA_Cross_EMA_20_200,WTIUSD,172.92,47.12,0,0.0,0.0,65.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,32.95
ROC_20_th0,WTIUSD,671.77,47.12,0,0.0,0.0,65.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,32.95
MA_Cross_EMA_20_200,WTIUSD,113.64,47.12,0,0.0,0.0,65.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,32.95
MA_Cross_SMA_20_200,WTIUSD,207.9,48.12,0,0.0,0.0,65.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,32.8
Momentum_252d_th0pct,WTIUSD,117.2,48.71,0,0.0,0.0,65.4,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,32.7
Momentum_126d_th5pct,BTCUSD,1176.28,48.66,0,0.0,0.0,65.4,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,32.7
MA_Filter_SMA_200,WTIUSD,-10.58,10.92,4,18.02,0.0,21.4,44.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",32.7
Donchian_20_10,BTCUSD,678.5,49.1,0,0.0,0.0,65.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,32.65
MA_Cross_EMA_20_200,BTCUSD,1164.11,48.9,0,0.0,0.0,65.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,32.65
ROC_20_th0,BTCUSD,17122.09,49.57,0,0.0,0.0,65.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,32.55
Triple_MA_SMA_10_50_200,BTCUSD,5509.46,50.48,0,0.0,0.0,64.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,32.45
MA_Filter_EMA_50,BOVA11,79.17,16.17,0,0.0,0.0,64.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,32.35
MA_Cross_SMA_50_200,WTIUSD,122.25,51.46,0,0.0,0.0,64.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,32.3
RSI_Rev_14_30_70,BTCUSD,142.18,51.7,0,0.0,0.0,64.5,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,32.25
MA_Filter_EMA_50,IVVB11,74.67,10.16,0,0.0,0.0,64.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,32.15
Momentum_252d_th0pct,BTCUSD,1498.81,53.11,0,0.0,0.0,64.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,32.05
Triple_MA_SMA_10_50_200,XAUUSD,77.59,17.87,0,0.0,0.0,63.4,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,31.7
BB_Rev_20_2.5std_upper,BOVA11,94.74,46.93,0,0.0,0.0,63.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,31.65
MA_Cross_SMA_50_200,BTCUSD,537.16,56.13,0,0.0,0.0,63.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,31.6
Donchian_20_10,BOVA11,76.67,17.07,0,0.0,0.0,63.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,31.6
MA_Filter_SMA_200,BTCUSD,744.49,56.73,0,0.0,0.0,63.0,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,31.5
Donchian_55_20,BTCUSD,3426.5,57.11,0,0.0,0.0,62.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,31.45
ROC_20_th0,IVVB11,80.8,25.19,0,0.0,0.0,62.8,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,31.4
ROC_20_th0,BTCUSD,892.6,57.41,0,0.0,0.0,62.8,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,31.4
RSI_Rev_14_30_70,BTCUSD,474.58,59.41,0,0.0,0.0,62.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,31.1
MA_Filter_EMA_50,BTCUSD,9727.34,61.39,0,0.0,0.0,61.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,30.8
MA_Cross_SMA_20_200,BTCUSD,680.19,61.32,0,0.0,0.0,61.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,30.8
Momentum_126d_th5pct,BTCUSD,10680.01,64.13,0,0.0,0.0,60.8,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,30.4
MA_Filter_SMA_200,BTCUSD,8660.05,64.13,0,0.0,0.0,60.8,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,30.4
RSI_Rev_14_30_70,IVVB11,72.99,20.8,0,0.0,0.0,60.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,30.15
MA_Filter_SMA_200,IVVB11,75.58,25.09,0,0.0,0.0,60.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,30.15
MA_Cross_SMA_50_200,IVVB11,73.95,22.62,0,0.0,0.0,60.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,30.1
RSI_Rev_14_25_75,BTCUSD,115.21,66.75,0,0.0,0.0,60.0,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,30.0
MA_Cross_SMA_20_200,IVVB11,74.49,24.46,0,0.0,0.0,59.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.95
MA_Filter_EMA_50,COPPERFUT,-6.27,41.01,5,23.7,0.0,14.6,45.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",29.8
MA_Cross_SMA_20_200,BTCUSD,6492.88,67.91,0,0.0,0.0,59.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.8
MA_Filter_EMA_50,BTCUSD,602648.19,68.23,0,0.0,0.0,59.5,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.75
MA_Filter_EMA_50,BTCUSD,2829.58,68.23,0,0.0,0.0,59.5,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.75
MA_Cross_SMA_50_200,BTCUSD,6167.7,69.43,0,0.0,0.0,59.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.6
ROC_20_th0,BTCUSD,1214609.09,70.26,0,0.0,0.0,58.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.45
ROC_20_th0,BTCUSD,4836.33,70.26,0,0.0,0.0,58.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.45
Donchian_20_10,BTCUSD,2890.85,70.26,0,0.0,0.0,58.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.45
Donchian_55_20,BTCUSD,126520.65,70.26,0,0.0,0.0,58.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.45
Donchian_20_10,BTCUSD,556083.18,70.26,0,0.0,0.0,58.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.45
Triple_MA_SMA_10_50_200,USDBRL,76.03,30.55,0,0.0,0.0,58.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.45
Donchian_55_20,BTCUSD,1806.94,70.26,0,0.0,0.0,58.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.45
MA_Filter_EMA_50,COPPERFUT,-20.16,20.3,5,23.7,0.0,13.8,45.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",29.4
RSI_Bands_14_20_50,BTCUSD,123.17,70.8,0,0.0,0.0,58.8,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.4
Momentum_126d_th5pct,IVVB11,72.6,25.08,0,0.0,0.0,58.8,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.4
Triple_MA_SMA_10_50_200,IVVB11,67.19,16.69,0,0.0,0.0,58.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.3
MA_Filter_EMA_50,WTIUSD,-12.93,19.95,1,365.0,0.0,17.5,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",29.25
MA_Cross_EMA_20_200,BTCUSD,5229.03,72.42,0,0.0,0.0,58.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.15
Momentum_252d_th0pct,BTCUSD,8235.59,72.85,0,0.0,0.0,58.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.05
BB_Rev_20_2.5std_upper,BTCUSD,215.43,73.18,0,0.0,0.0,58.0,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,29.0
MA_Filter_SMA_200,BOVA11,75.02,32.53,0,0.0,0.0,57.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,28.85
ZScore_60_entry2.0_exit0.0,BTCUSD,182.1,74.24,0,0.0,0.0,57.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,28.85
ROC_20_th0,XAUUSD,67.01,19.76,0,0.0,0.0,57.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,28.8
BB_Rev_20_2.5std_upper,IVVB11,67.49,21.26,0,0.0,0.0,57.4,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,28.7
MA_Filter_EMA_50,XAUUSD,-18.76,21.48,3,49.77,0.0,14.2,43.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",28.6
MA_Filter_SMA_200,SOYFUT,-0.06,46.27,1,365.0,0.0,16.1,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",28.55
Triple_MA_SMA_10_50_200,BTCUSD,263.34,77.87,0,0.0,0.0,56.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,28.3
MA_Cross_EMA_20_200,IVVB11,69.71,27.54,0,0.0,0.0,56.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,28.3
Triple_MA_SMA_10_50_200,BTCUSD,41031.39,77.87,0,0.0,0.0,56.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,28.3
RSI_Rev_14_25_75,BTCUSD,163.97,79.46,0,0.0,0.0,56.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,28.1
Donchian_55_20,IVVB11,64.18,20.13,0,0.0,0.0,56.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,28.05
Momentum_126d_th5pct,IVVB11,58.11,10.67,0,0.0,0.0,55.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,27.95
RSI_Rev_14_30_70,BTCUSD,488.51,80.35,0,0.0,0.0,55.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,27.95
ROC_20_th0,COPPERFUT,-8.19,38.34,1,73.0,0.0,14.4,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",27.7
Triple_MA_SMA_10_50_200,BOVA11,59.44,15.24,0,0.0,0.0,55.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,27.55
RSI_Rev_14_25_75,COPPERFUT,75.88,42.87,0,0.0,0.0,55.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,27.55
Momentum_126d_th5pct,SOYFUT,-18.27,22.6,1,36.5,0.0,14.1,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",27.55
BB_Rev_20_2.5std_upper,WTIUSD,128.48,83.51,0,0.0,0.0,54.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,27.45
MA_Cross_EMA_20_200,COPPERFUT,66.72,29.75,0,0.0,0.0,54.4,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,27.2
Momentum_252d_th0pct,BOVA11,-20.61,28.02,3,39.11,0.0,11.3,43.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",27.15
MA_Filter_SMA_200,BTCUSD,206.42,86.06,0,0.0,0.0,54.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,27.1
MA_Filter_SMA_200,BTCUSD,54808.04,86.06,0,0.0,0.0,54.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,27.1
BB_Rev_20_2.5std_upper,WTIUSD,238.08,86.79,0,0.0,0.0,54.0,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,27.0
BB_Rev_20_2.5std_upper,WTIUSD,113.32,86.79,0,0.0,0.0,54.0,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,27.0
MomRev_252m_21r_th-5,COPPERFUT,52.11,7.83,0,0.0,0.0,53.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,26.85
BB_Rev_20_2.5std_upper,COPPERFUT,61.5,24.07,0,0.0,0.0,53.5,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,26.75
MA_Cross_EMA_20_200,BTCUSD,101.95,89.77,0,0.0,0.0,53.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,26.55
MA_Cross_EMA_20_200,BTCUSD,35166.9,89.77,0,0.0,0.0,53.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,26.55
MA_Cross_SMA_20_200,BTCUSD,381.28,90.98,0,0.0,0.0,52.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,26.35
MA_Cross_SMA_50_200,BTCUSD,52116.71,90.98,0,0.0,0.0,52.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,26.35
Momentum_126d_th5pct,BTCUSD,77196.89,90.97,0,0.0,0.0,52.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,26.35
Momentum_126d_th5pct,BTCUSD,145.08,90.97,0,0.0,0.0,52.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,26.35
Momentum_252d_th0pct,BTCUSD,711.6,90.98,0,0.0,0.0,52.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,26.35
Momentum_252d_th0pct,BTCUSD,214577.26,90.98,0,0.0,0.0,52.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,26.35
MA_Filter_SMA_200,USDBRL,52.75,12.23,0,0.0,0.0,52.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,26.35
MA_Cross_SMA_20_200,BTCUSD,62974.18,90.98,0,0.0,0.0,52.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,26.35
MA_Cross_SMA_50_200,BTCUSD,323.21,90.98,0,0.0,0.0,52.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,26.35
Donchian_55_20,IVVB11,51.39,10.5,0,0.0,0.0,52.5,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,26.25
MA_Cross_EMA_20_200,COPPERFUT,62.39,29.75,0,0.0,0.0,52.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,26.15
Donchian_55_20,XAUUSD,58.76,24.18,0,0.0,0.0,52.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,26.05
MA_Filter_EMA_50,BOVA11,56.17,19.99,0,0.0,0.0,52.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,26.05
MomRev_252m_21r_th-5,IVVB11,49.93,11.0,0,0.0,0.0,51.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,25.85
MA_Cross_SMA_20_200,XAUUSD,51.06,13.9,0,0.0,0.0,51.4,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,25.7
BB_Rev_20_2.5std_upper,XAUUSD,49.09,12.57,0,0.0,0.0,50.8,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,25.4
ROC_20_th0,IVVB11,44.77,7.72,0,0.0,0.0,50.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,25.05
BB_Rev_20_2.0std_mean,XAUUSD,41.94,6.37,0,0.0,0.0,49.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,24.55
ZScore_60_entry2.0_exit0.0,COPPERFUT,47.23,15.71,0,0.0,0.0,48.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,24.45
Momentum_252d_th0pct,COPPERFUT,53.6,26.49,0,0.0,0.0,48.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,24.45
RSI_Rev_14_25_75,BOVA11,52.15,25.78,0,0.0,0.0,48.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,24.15
ZScore_60_entry2.0_exit0.0,IVVB11,44.76,13.6,0,0.0,0.0,48.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,24.15
RSI_Bands_14_20_50,BTCUSD,44.04,12.66,0,0.0,0.0,48.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,24.1
Triple_MA_SMA_10_50_200,IVVB11,49.98,22.47,0,0.0,0.0,48.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,24.1
MA_Cross_SMA_50_200,WTIUSD,66.72,52.39,0,0.0,0.0,47.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,23.8
MA_Cross_SMA_50_200,XAUUSD,43.71,14.37,0,0.0,0.0,47.5,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,23.75
Donchian_55_20,SOYFUT,46.56,19.45,0,0.0,0.0,47.4,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,23.7
Donchian_55_20,BOVA11,43.13,14.13,0,0.0,0.0,47.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,23.65
MA_Cross_EMA_20_200,BOVA11,57.91,38.71,0,0.0,0.0,47.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,23.65
